[2019-09-24 09:26:29,624][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:26:29,624][default:INFO(310)]--[errorcode]:			error("EOSCSGL021");

[2019-09-24 09:28:13,358][default:INFO(94)]--[master]:src:/Users/wan/Documents/spring/1
[2019-09-24 09:28:19,258][default:INFO(108)]--[master]:dest:/Users/wan/Documents/spring/xx
[2019-09-24 09:28:20,566][default:INFO(466)]--[errorcode]:开始对***00000错误码进行编码
[2019-09-24 09:28:20,566][default:INFO(467)]--[errorcode]:读取存量错误码信息
[2019-09-24 09:28:20,569][default:INFO(472)]--[errorcode]:扫描文件信息
[2019-09-24 09:28:20,571][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:28:20,571][default:INFO(310)]--[errorcode]:		succ("SOSCSGL021");

[2019-09-24 09:28:20,572][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:28:20,572][default:INFO(310)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:28:20,573][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:28:20,573][default:INFO(328)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:28:20,573][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:28:20,573][default:INFO(310)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:28:20,573][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:28:20,574][default:INFO(328)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:28:20,574][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:28:20,574][default:INFO(310)]--[errorcode]:		succ("SOSCSGL023");

[2019-09-24 09:28:20,574][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:28:20,574][default:INFO(310)]--[errorcode]:		succ("SOSCSGL024");

[2019-09-24 09:28:20,574][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:28:20,574][default:INFO(310)]--[errorcode]:			error("EOSCSGL021");

[2019-09-24 09:30:22,938][default:INFO(108)]--[master]:dest:/Users/wan/Documents/spring/xx
